ID Estacion,Autoridad Ambiental,Estación,Latitud,Longitud,Variable,Unidades,Tiempo de exposición (horas),Año,Promedio,Suma,No. de datos,Representatividad Temporal,Excedencias limite actual,Porcentaje excedencias limite actual,Mediana,Percentil 98,Máximo,Fechas/horas del máximo,Mínimo,Fechas/horas del mínimo,Días de excedencias,Nombre del Departamento,Nombre del Municipio,Tipo de Estación
31360.0,AMVA,CIUDADELA EDUCATIVA,6.345361111,-75.50475,DViento,deg,1,2020,26.0,893741.0,8736,99.0,0,0.0,56.0,356.0,359.0,2020-01-04 05:00:00.000000000,0.0,2020-01-16 10:00:00.000000000,0,ANTIOQUIA,COPACABANA,Fija
31360.0,AMVA,CIUDADELA EDUCATIVA,6.345361111,-75.50475,DViento,deg,24,2020,38.7,20112.9,363,99.0,0,0.0,41.3,275.8,359.8,2020-07-11 12:00:00.000000000,1.2,2020-07-09 12:00:00.000000000,0,ANTIOQUIA,COPACABANA,Fija
31360.0,AMVA,CIUDADELA EDUCATIVA,6.345361111,-75.50475,HAire10,perc,1,2020,70.1,613900.969,8763,100.0,0,0.0,75.5,91.2,93.5,2020-03-10 09:00:00.000000000,17.2,2020-02-06 04:00:00.000000000,0,ANTIOQUIA,COPACABANA,Fija
31360.0,AMVA,CIUDADELA EDUCATIVA,6.345361111,-75.50475,HAire10,perc,24,2020,70.1,25572.34,365,100.0,0,0.0,70.9,82.6,85.5,2020-05-30 12:00:00.000000000,47.4,2020-02-18 12:00:00.000000000,0,ANTIOQUIA,COPACABANA,Fija
31360.0,AMVA,CIUDADELA EDUCATIVA,6.345361111,-75.50475,PLiquida,mm,24,2020,0.5,191.53,366,100.0,0,0.0,0.1,4.6,7.4,2020-03-10 12:00:00.000000000,0.0,2020-08-10 12:00:00.000000000,0,ANTIOQUIA,COPACABANA,Fija
31360.0,AMVA,CIUDADELA EDUCATIVA,6.345361111,-75.50475,P,mmHg,1,2020,640.4,5611903.135,8763,100.0,0,0.0,640.6,642.7,644.0,2020-01-05 09:00:00.000000000,635.8,2020-08-13 04:00:00.000000000,0,ANTIOQUIA,COPACABANA,Fija
31360.0,AMVA,CIUDADELA EDUCATIVA,6.345361111,-75.50475,P,mmHg,24,2020,640.4,233749.84,365,100.0,0,0.0,640.4,641.8,642.2,2020-05-31 12:00:00.000000000,638.2,2020-02-17 12:00:00.000000000,0,ANTIOQUIA,COPACABANA,Fija
31360.0,AMVA,CIUDADELA EDUCATIVA,6.345361111,-75.50475,TAire10,Celsius,1,2020,21.5,188642.9576,8763,100.0,0,0.0,20.7,28.9,31.1,2020-02-18 04:00:00.000000000,14.5,2020-01-07 07:00:00.000000000,0,ANTIOQUIA,COPACABANA,Fija
31360.0,AMVA,CIUDADELA EDUCATIVA,6.345361111,-75.50475,TAire10,Celsius,24,2020,21.5,7856.64,365,100.0,0,0.0,21.5,23.8,24.7,2020-02-18 12:00:00.000000000,18.4,2020-07-24 12:00:00.000000000,0,ANTIOQUIA,COPACABANA,Fija
31360.0,AMVA,CIUDADELA EDUCATIVA,6.345361111,-75.50475,VViento,ms,1,2020,1.9,16322.6,8736,99.0,0,0.0,1.6,5.2,7.6,2020-04-13 05:00:00.000000000,0.0,2020-01-18 07:00:00.000000000,0,ANTIOQUIA,COPACABANA,Fija
31360.0,AMVA,CIUDADELA EDUCATIVA,6.345361111,-75.50475,VViento,ms,24,2020,1.9,677.7,363,99.0,0,0.0,1.9,2.6,2.9,2020-08-10 12:00:00.000000000,1.0,2020-07-25 12:00:00.000000000,0,ANTIOQUIA,COPACABANA,Fija
29600.0,AMVA,CORPORACIÓN LASALLISTA,6.099026,-75.638391,DViento,deg,1,2020,182.0,1716914.8,8211,93.0,0,0.0,197.0,355.0,359.9,2020-01-18 09:00:00.000000000,0.0,2020-02-18 03:00:00.000000000,0,ANTIOQUIA,CALDAS,Fija
29600.0,AMVA,CORPORACIÓN LASALLISTA,6.099026,-75.638391,DViento,deg,24,2020,215.5,81406.59,341,93.0,0,0.0,221.9,357.1,359.8,2020-01-09 12:00:00.000000000,0.1,2020-01-16 12:00:00.000000000,0,ANTIOQUIA,CALDAS,Fija
29600.0,AMVA,CORPORACIÓN LASALLISTA,6.099026,-75.638391,HAire10,perc,1,2020,78.8,653996.9177,8304,95.0,0,0.0,83.8,98.6,100.0,2020-07-30 05:00:00.000000000,20.2,2020-01-10 04:00:00.000000000,0,ANTIOQUIA,CALDAS,Fija
29600.0,AMVA,CORPORACIÓN LASALLISTA,6.099026,-75.638391,HAire10,perc,24,2020,78.7,27159.41,345,94.0,0,0.0,80.4,90.1,92.1,2020-07-25 12:00:00.000000000,55.1,2020-02-18 12:00:00.000000000,0,ANTIOQUIA,CALDAS,Fija
29600.0,AMVA,CORPORACIÓN LASALLISTA,6.099026,-75.638391,PLiquida,mm,1,2020,0.1,738.5,5193,59.0,0,0.0,0.0,1.9,9.8,2020-07-30 04:00:00.000000000,0.0,2020-06-04 04:00:00.000000000,0,ANTIOQUIA,CALDAS,Fija
29600.0,AMVA,CORPORACIÓN LASALLISTA,6.099026,-75.638391,PLiquida,mm,24,2020,3.4,738.5,216,59.0,0,0.0,2.1,14.5,20.9,2020-10-31 12:00:00.000000000,0.0,2020-06-04 12:00:00.000000000,0,ANTIOQUIA,CALDAS,Fija
29600.0,AMVA,CORPORACIÓN LASALLISTA,6.099026,-75.638391,P,mmHg,1,2020,616.7,5081372.856,8240,94.0,0,0.0,616.8,619.0,620.1,2020-01-05 09:00:00.000000000,612.8,2020-02-17 04:00:00.000000000,0,ANTIOQUIA,CALDAS,Fija
29600.0,AMVA,CORPORACIÓN LASALLISTA,6.099026,-75.638391,P,mmHg,24,2020,616.7,212751.17,345,94.0,0,0.0,616.7,618.1,618.5,2020-04-13 12:00:00.000000000,614.6,2020-02-17 12:00:00.000000000,0,ANTIOQUIA,CALDAS,Fija
29600.0,AMVA,CORPORACIÓN LASALLISTA,6.099026,-75.638391,RGlobal,Wm2,1,2020,139.1,442775.4,3184,36.0,0,0.0,3.4,632.6,780.5,2020-05-13 01:00:00.000000000,0.0,2020-01-10 04:00:00.000000000,0,ANTIOQUIA,CALDAS,Fija
29600.0,AMVA,CORPORACIÓN LASALLISTA,6.099026,-75.638391,RGlobal,Wm2,24,2020,139.3,19218.14,138,38.0,0,0.0,139.5,199.7,216.7,2020-03-22 12:00:00.000000000,35.1,2020-01-20 12:00:00.000000000,0,ANTIOQUIA,CALDAS,Fija
29600.0,AMVA,CORPORACIÓN LASALLISTA,6.099026,-75.638391,TAire10,Celsius,1,2020,19.4,160914.5231,8276,94.0,0,0.0,18.7,27.4,29.9,2020-02-19 04:00:00.000000000,12.4,2020-01-08 07:00:00.000000000,0,ANTIOQUIA,CALDAS,Fija
29600.0,AMVA,CORPORACIÓN LASALLISTA,6.099026,-75.638391,TAire10,Celsius,24,2020,19.5,6692.72,344,94.0,0,0.0,19.2,22.5,23.4,2020-05-09 12:00:00.000000000,16.2,2020-09-09 12:00:00.000000000,0,ANTIOQUIA,CALDAS,Fija
29600.0,AMVA,CORPORACIÓN LASALLISTA,6.099026,-75.638391,VViento,ms,1,2020,1.0,7839.69,7738,88.0,0,0.0,0.8,3.0,17.3,2020-07-14 07:00:00.000000000,0.0,2020-01-04 04:00:00.000000000,0,ANTIOQUIA,CALDAS,Fija
29600.0,AMVA,CORPORACIÓN LASALLISTA,6.099026,-75.638391,VViento,ms,24,2020,1.0,326.41,320,87.0,0,0.0,1.0,1.7,2.2,2020-07-14 12:00:00.000000000,0.2,2020-04-24 12:00:00.000000000,0,ANTIOQUIA,CALDAS,Fija
9020.0,AMVA,I.E. COL. COLOMBIA,6.378361,-75.443886,DViento,deg,1,2020,15.0,930303.0,7651,87.0,0,0.0,83.0,354.0,359.0,2020-01-01 08:00:00.000000000,0.0,2020-01-13 02:00:00.000000000,0,ANTIOQUIA,GIRARDOTA,Fija
